1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,Z,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,0,1
1,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,=,0,1
1,0,-,0,Z,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,0,=,0,1
1,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,=,0,=,0,1
1,0,-,0,-,0,Z,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,0,=,0,=,0,1
1,0,-,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,=,0,=,0,=,0,1
1,0,-,0,-,0,-,0,Z,=,=,=,=,=,=,=,=,=,=,=,=,=,0,=,0,=,0,=,0,1
1,0,-,0,-,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,=,0,=,0,=,0,=,0,1
1,0,-,0,-,0,-,0,-,0,Z,=,=,=,=,=,=,=,=,=,0,=,0,=,0,=,0,=,0,1
1,0,-,0,-,0,-,0,-,0,-,0,0,0,0,0,0,0,0,=,0,=,0,=,0,=,0,=,0,1
1,0,-,0,-,0,-,0,-,0,-,0,1,1,1,1,1,1,0,=,0,=,0,=,0,=,0,=,0,1
1,0,-,0,-,0,-,0,-,0,-,0,1,1,1,1,1,1,0,=,0,=,0,=,0,=,0,=,0,1
1,0,-,0,-,0,-,0,-,0,-,0,1,1,1,1,1,1,0,=,0,=,0,=,0,=,0,=,0,1
1,0,-,0,-,0,-,0,-,0,-,0,1,1,1,1,1,1,0,=,0,=,0,=,0,=,0,=,0,1
1,0,-,0,-,0,-,0,-,0,-,0,1,1,1,1,1,1,0,=,0,=,0,=,0,=,0,=,0,1
1,0,-,0,-,0,-,0,-,0,-,0,1,1,1,1,1,1,0,=,0,=,0,=,0,=,0,=,0,1
1,0,-,0,-,0,-,0,-,0,-,0,0,0,0,0,0,0,0,=,0,=,0,=,0,=,0,=,0,1
1,0,-,0,-,0,-,0,-,0,-,-,-,-,-,-,-,-,-,X,0,=,0,=,0,=,0,=,0,1
1,0,-,0,-,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,=,0,=,0,=,0,=,0,1
1,0,-,0,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,X,0,=,0,=,0,=,0,1
1,0,-,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,=,0,=,0,=,0,1
1,0,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,0,=,0,=,0,1
1,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,=,0,=,0,1
1,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,0,=,0,1
1,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,=,0,1
1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
